gene,id,Disease-OMIM,Type,OMIM_ID,Mondo,Severity
AAAS,605378,"Achalasia-addisonianism-alacrimia syndrome, 231550 (3)",Developmental,OMIM:231550,MONDO:0009279,Profound
AARS2,612035,"Combined oxidative phosphorylation deficiency 8, 614096 (3)",Mitochondrial,OMIM:614096,MONDO:0013570,Severe
ABAT,137150,"GABA-transaminase deficiency, 613163 (3)",Neurodegenerative,OMIM:613163,MONDO:0013166,Profound
ABCA12,607800,"Ichthyosis, congenital, autosomal recessive 4A, 601277 (3)",Cutaneous,OMIM:601277,MONDO:0011026,Severe
ABCA3,601615,"Surfactant metabolism dysfunction, pulmonary, 3, 610921 (3)",Respiratory,OMIM:610921,MONDO:0012582,Profound
ABCA4,601691,"Cone-rod dystrophy 3, 604116 (3)",Ocular,OMIM:604116,MONDO:0011395,Severe
ABCB11,603201,"Cholestasis, progressive familial intrahepatic 2, 601847 (3)",Hepatic,OMIM:601847,MONDO:0011156,Severe
ABCB4,171060,"Cholestasis, progressive familial intrahepatic 3, 602347 (3)",Hepatic,OMIM:602347,MONDO:0011214,Severe
ABCB4,171060,"Cholestasis, progressive familial intrahepatic 3, 602347 (3)",Hepatic,OMIM:602347,MONDO:0011214,Severe
ABCB4,171060,"Cholestasis, progressive familial intrahepatic 3, 602347 (3)",Hepatic,OMIM:602347,MONDO:0011214,Severe
ABCB7,300135,"Anemia, sideroblastic, with ataxia, 301310 (3)",Hematologic,OMIM:301310,MONDO:0010524,Profound
ABCC6,603234,"Arterial calcification, generalized, of infancy, 2, 614473 (3)",Cardiovascular,OMIM:614473,MONDO:0013768,Severe
ABCC8,600509,"Hyperinsulinemic hypoglycemia, familial, 1, 256450 (3)",Metabolic,OMIM:256450,MONDO:0009734,Severe
ABCD1,300371,"Adrenoleukodystrophy, 300100 (3)",Neurodegenerative,OMIM:300100,MONDO:0018544,Profound
ABHD5,604780,"Chanarin-Dorfman syndrome, 275630 (3)",Metabolic,OMIM:275630,MONDO:0010155,Profound
ACAD9,611103,"Mitochondrial complex I deficiency due to ACAD9 deficiency, 611126 (3)",Mitochondrial,OMIM:611126,MONDO:0012624,Profound
ACADVL,609575,"VLCAD deficiency, 201475 (3)",Metabolic,OMIM:201475,MONDO:0008723,Profound
ACAT1,607809,"Alpha-methylacetoacetic aciduria, 203750 (3)",Metabolic,OMIM:203750,MONDO:0008760,Profound
ACE,106180,"Renal tubular dysgenesis, 267430 (3)",Renal,OMIM:267430,MONDO:0009970,Profound
ACE,106180,"Renal tubular dysgenesis, 267430 (3)",Renal,OMIM:267430,MONDO:0009970,Profound
