model,temperature,top_p,overall_accuracy,avg_response_time,total_cost
openai/gpt-5,0.0,1.0,0.8571428571428571,57.578775014196125,0.5228487500000001
openai/gpt-5,0.0,0.95,0.7857142857142857,42.56593608856201,0.51354875
openai/gpt-5,0.0,0.9,0.8571428571428571,43.83964112826756,0.5149587499999999
openai/gpt-5,0.2,1.0,0.7142857142857143,41.7262373481478,0.49505874999999994
openai/gpt-5,0.2,0.95,0.7857142857142857,42.256140623773845,0.51815875
openai/gpt-5,0.2,0.9,0.8571428571428571,41.762905035700115,0.52399875
openai/gpt-5,0.5,1.0,0.8571428571428571,39.976332783699036,0.5136687500000001
openai/gpt-5,0.5,0.95,0.7857142857142857,44.06576216220856,0.54026875
openai/gpt-5,0.5,0.9,0.7857142857142857,38.80809870788029,0.5113287499999999
x-ai/grok-4,0.0,1.0,0.7857142857142857,61.3571686233793,0.7025130000000002
x-ai/grok-4,0.0,0.95,0.8571428571428571,63.668282645089285,0.719493
x-ai/grok-4,0.0,0.9,0.7857142857142857,53.64187817914145,0.633528
x-ai/grok-4,0.2,1.0,0.7142857142857143,55.33225091866085,0.6641429999999999
x-ai/grok-4,0.2,0.95,0.7142857142857143,54.59095161301749,0.6811079999999999
x-ai/grok-4,0.2,0.9,0.8571428571428571,54.67023246628897,0.700203
x-ai/grok-4,0.5,1.0,0.7857142857142857,61.759490268571035,0.7188780000000001
x-ai/grok-4,0.5,0.95,0.7142857142857143,58.621611390795024,0.6909629999999999
x-ai/grok-4,0.5,0.9,0.7857142857142857,51.86558742182596,0.640893
google/gemini-2.5-pro,0.0,1.0,0.8571428571428571,19.522391625813075,0.43786250000000004
google/gemini-2.5-pro,0.0,0.95,0.8571428571428571,19.514317563601903,0.44485249999999993
google/gemini-2.5-pro,0.0,0.9,0.7142857142857143,19.578689115388052,0.4436125
google/gemini-2.5-pro,0.2,1.0,0.7857142857142857,18.991857647895813,0.4422725
google/gemini-2.5-pro,0.2,0.95,0.8571428571428571,19.220409904207504,0.44647249999999994
google/gemini-2.5-pro,0.2,0.9,0.9285714285714286,40.313777106148855,0.45006250000000003
google/gemini-2.5-pro,0.5,1.0,0.8571428571428571,20.484820740563528,0.4618025
google/gemini-2.5-pro,0.5,0.95,0.8571428571428571,20.552718383925303,0.45288499999999987
google/gemini-2.5-pro,0.5,0.9,0.7142857142857143,21.467696734837123,0.44633
anthropic/claude-3.5-sonnet,0.0,1.0,0.9285714285714286,15.217002323695592,0.340557
anthropic/claude-3.5-sonnet,0.0,0.95,0.9285714285714286,14.21038557801928,0.338367
anthropic/claude-3.5-sonnet,0.0,0.9,0.9285714285714286,13.978307962417603,0.33559199999999995
anthropic/claude-3.5-sonnet,0.2,1.0,0.9285714285714286,14.480358362197876,0.337587
anthropic/claude-3.5-sonnet,0.2,0.95,0.9285714285714286,14.867979441370283,0.341022
anthropic/claude-3.5-sonnet,0.2,0.9,0.9285714285714286,14.477335027285985,0.33746699999999996
anthropic/claude-3.5-sonnet,0.5,1.0,0.9285714285714286,13.693063054765974,0.33871199999999996
anthropic/claude-3.5-sonnet,0.5,0.95,0.9285714285714286,14.622547336987086,0.33676200000000006
anthropic/claude-3.5-sonnet,0.5,0.9,0.9285714285714286,13.910264270646232,0.338607
openai/gpt-4o,0.0,1.0,0.9285714285714286,13.085947649819511,0.2271925
openai/gpt-4o,0.0,0.95,0.9285714285714286,6.81943006174905,0.22758249999999997
openai/gpt-4o,0.0,0.9,0.7857142857142857,7.737722413880484,0.21173999999999998
openai/gpt-4o,0.2,1.0,0.9285714285714286,7.865517820630755,0.22578250000000005
openai/gpt-4o,0.2,0.95,0.9285714285714286,7.791386876787458,0.22704250000000004
openai/gpt-4o,0.2,0.9,0.9285714285714286,7.2225353717803955,0.2261225
openai/gpt-4o,0.5,1.0,0.8571428571428571,7.896887370518276,0.20789499999999997
openai/gpt-4o,0.5,0.95,0.9285714285714286,7.9733152730124335,0.22683249999999996
openai/gpt-4o,0.5,0.9,0.8571428571428571,7.867223841803415,0.22648249999999995
openrouter/sonoma-sky-alpha,0.0,1.0,0.8571428571428571,12.773047174726214,0.0
openrouter/sonoma-sky-alpha,0.0,0.95,0.8571428571428571,13.766280225345067,0.0
openrouter/sonoma-sky-alpha,0.0,0.9,0.8571428571428571,14.666162916592189,0.0
openrouter/sonoma-sky-alpha,0.2,1.0,0.8571428571428571,14.113919479506356,0.0
openrouter/sonoma-sky-alpha,0.2,0.95,0.8571428571428571,15.749238916805812,0.0
openrouter/sonoma-sky-alpha,0.2,0.9,0.8571428571428571,15.296201399394445,0.0
openrouter/sonoma-sky-alpha,0.5,1.0,0.9285714285714286,14.42967791216714,0.0
openrouter/sonoma-sky-alpha,0.5,0.95,0.8571428571428571,15.15115453515734,0.0
openrouter/sonoma-sky-alpha,0.5,0.9,0.8571428571428571,15.260509065219335,0.0
openai/gpt-4o-mini,0.0,1.0,0.5,9.197199259485517,0.012907350000000001
openai/gpt-4o-mini,0.0,0.95,0.42857142857142855,9.898990324565343,0.012923550000000002
openai/gpt-4o-mini,0.0,0.9,0.5,11.497515627316066,0.01288635
openai/gpt-4o-mini,0.2,1.0,0.5,9.856947694505964,0.013028550000000002
openai/gpt-4o-mini,0.2,0.95,0.42857142857142855,10.229884232793536,0.013081949999999998
openai/gpt-4o-mini,0.2,0.9,0.5,9.567815865789141,0.01289235
openai/gpt-4o-mini,0.5,1.0,0.5714285714285714,10.118978534426008,0.01296615
openai/gpt-4o-mini,0.5,0.95,0.5,10.43595916884286,0.01297095
openai/gpt-4o-mini,0.5,0.9,0.5,9.792771697044373,0.013057349999999999
